gene_id,total_counts,n_cells_by_counts,is_mitochondrial
PUSL1,64.0,62,False
CPSF3L,256.0,202,False
GLTPD1,78.0,77,False
TAS1R3,1.0,1,False
DVL1,5.0,5,False
MXRA8,5.0,5,False
AURKAIP1,996.0,770,False
CCNL2,150.0,144,False
RP4-758J18.2,102.0,100,False
MRPL20,912.0,677,False
RP4-758J18.13,0.0,0,False
ANKRD65,2.0,2,False
RP4-758J18.7,0.0,0,False
TMEM88B,0.0,0,False
RP4-758J18.10,0.0,0,False
VWA1,0.0,0,False
ATAD3C,25.0,9,False
ATAD3B,28.0,28,False
ATAD3A,51.0,49,False
TMEM240,0.0,0,False
SSU72,1193.0,901,False
AL645728.1,29.0,28,False
C1orf233,9.0,9,False
RP11-345P4.9,38.0,37,False
MIB2,195.0,177,False
MMP23B,21.0,21,False
CDK11B,64.0,62,False
RP11-345P4.10,2.0,2,False
SLC35E2B,46.0,44,False
RP11-345P4.7,0.0,0,False
CDK11A,173.0,164,False
SLC35E2,16.0,16,False
NADK,134.0,125,False
GNB1,348.0,317,False
RP1-140A9.1,3.0,3,False
CALML6,0.0,0,False
TMEM52,3.0,3,False
C1orf222,0.0,0,False
RP11-547D24.1,0.0,0,False
GABRD,0.0,0,False
RP11-547D24.3,0.0,0,False
PRKCZ,35.0,34,False
RP5-892K4.1,10.0,10,False
RP11-181G12.2,2.0,2,False
C1orf86,615.0,501,False
AL590822.2,3.0,3,False
AL590822.1,2.0,2,False
RP11-181G12.5,0.0,0,False
RP11-181G12.4,0.0,0,False
SKI,61.0,59,False
MORN1,1.0,1,False
AL589739.1,0.0,0,False
RER1,805.0,608,False
PEX10,35.0,34,False
PLCH2,3.0,3,False
RP3-395M20.2,0.0,0,False
RP3-395M20.3,0.0,0,False
PANK4,57.0,57,False
HES5,0.0,0,False
RP3-395M20.12,182.0,165,False
TNFRSF14,704.0,589,False
RP3-395M20.7,0.0,0,False
RP3-395M20.9,14.0,12,False
FAM213B,39.0,38,False
MMEL1,13.0,13,False
RP13-436F16.1,0.0,0,False
TTC34,4.0,4,False
RP11-740P5.2,0.0,0,False
RP11-740P5.3,0.0,0,False
ACTRT2,0.0,0,False
LINC00982,0.0,0,False
PRDM16,1.0,1,False
RP1-163G9.2,0.0,0,False
RP11-22L13.1,0.0,0,False
ARHGEF16,0.0,0,False
RP11-168F9.2,0.0,0,False
MEGF6,10.0,10,False
RP11-46F15.2,0.0,0,False
TPRG1L,55.0,49,False
WRAP73,103.0,97,False
TP73,1.0,1,False
RP5-1092A11.5,1.0,1,False
RP5-1092A11.2,0.0,0,False
TP73-AS1,31.0,31,False
CCDC27,0.0,0,False
SMIM1,14.0,14,False
LRRC47,143.0,120,False
RP1-286D6.5,1.0,1,False
CEP104,63.0,62,False
DFFB,26.0,25,False
C1orf174,147.0,141,False
LINC01134,1.0,1,False
RP13-614K11.1,0.0,0,False
RP13-614K11.2,0.0,0,False
RP5-1166F10.1,0.0,0,False
RP1-37J18.1,0.0,0,False
RP1-37J18.2,0.0,0,False
AJAP1,0.0,0,False
RP11-542C10.1,0.0,0,False
RP1-58B11.1,0.0,0,False
RP11-154H17.1,0.0,0,False
NPHP4,11.0,11,False
KCNAB2,284.0,261,False
AL035406.1,0.0,0,False
CHD5,0.0,0,False
RPL22,5765.0,2180,False
RP1-120G22.11,2.0,2,False
RNF207,12.0,11,False
ICMT,69.0,67,False
LINC00337,2.0,2,False
HES3,0.0,0,False
GPR153,5.0,4,False
ACOT7,31.0,27,False
RP1-202O8.3,5.0,5,False
HES2,0.0,0,False
ESPN,5.0,5,False
RP1-202O8.2,0.0,0,False
TNFRSF25,239.0,170,False
PLEKHG5,12.0,10,False
NOL9,46.0,42,False
TAS1R1,0.0,0,False
ZBTB48,69.0,64,False
KLHL21,39.0,38,False
PHF13,22.0,22,False
THAP3,84.0,81,False
DNAJC11,45.0,43,False
RP11-242F24.1,1.0,1,False
RP11-312B8.1,3.0,3,False
CAMTA1,272.0,241,False
RP11-334N17.1,0.0,0,False
RP3-453P22.2,0.0,0,False
RP4-549F15.1,0.0,0,False
RP11-338N10.1,0.0,0,False
RP11-338N10.2,0.0,0,False
RP11-338N10.3,0.0,0,False
VAMP3,213.0,196,False
PER3,27.0,26,False
RP3-467L1.4,1.0,1,False
UTS2,12.0,12,False
TNFRSF9,21.0,11,False
PARK7,2014.0,1311,False
ERRFI1,2.0,2,False
RP11-431K24.1,0.0,0,False
RP11-431K24.3,0.0,0,False
RP11-431K24.4,0.0,0,False
SLC45A1,3.0,3,False
RERE,132.0,127,False
RP5-1115A15.1,4.0,4,False
RP4-633I8.4,0.0,0,False
ENO1,3036.0,1514,False
ENO1-AS1,13.0,13,False
CA6,4.0,4,False
SLC2A7,0.0,0,False
SLC2A5,4.0,4,False
GPR157,3.0,3,False
RP3-510D11.1,0.0,0,False
RP3-510D11.2,1.0,1,False
H6PD,53.0,51,False
SPSB1,13.0,12,False
RP13-392I16.1,0.0,0,False
SLC25A33,103.0,98,False
TMEM201,8.0,8,False
PIK3CD,243.0,232,False
C1orf200,6.0,6,False
RP11-558F24.4,5.0,5,False
CLSTN1,153.0,143,False
CTNNBIP1,198.0,169,False
RP11-84A14.5,0.0,0,False
LZIC,150.0,144,False
NMNAT1,26.0,26,False
RBP7,266.0,184,False
UBE4B,77.0,75,False
KIF1B,25.0,25,False
PGD,390.0,318,False
RP4-736L20.3,0.0,0,False
APITD1,34.0,34,False
APITD1-CORT,0.0,0,False
CORT,0.0,0,False
DFFA,124.0,116,False
RP5-1113E3.3,0.0,0,False
PEX14,51.0,51,False
CASZ1,7.0,7,False
RP4-734G22.3,0.0,0,False
C1orf127,1.0,1,False
TARDBP,193.0,181,False
MASP2,0.0,0,False
RP4-635E18.8,6.0,6,False
SRM,496.0,355,False
EXOSC10,103.0,97,False
RP4-635E18.7,0.0,0,False
RP4-635E18.6,2.0,2,False
MTOR,35.0,35,False
MTOR-AS1,0.0,0,False
ANGPTL7,0.0,0,False
UBIAD1,144.0,111,False
PTCHD2,0.0,0,False
RP1-69M21.2,0.0,0,False
FBXO2,17.0,16,False
FBXO44,85.0,83,False
FBXO6,159.0,147,False
MAD2L2,243.0,220,False
DRAXIN,9.0,7,False
AGTRAP,507.0,408,False
C1orf167,0.0,0,False
RP11-56N19.5,0.0,0,False
MTHFR,61.0,60,False
CLCN6,29.0,29,False
NPPA-AS1,3.0,3,False
NPPA,0.0,0,False
NPPB,0.0,0,False
KIAA2013,65.0,62,False
PLOD1,29.0,29,False
MFN2,73.0,65,False
MIIP,172.0,165,False
TNFRSF8,36.0,33,False
TNFRSF1B,489.0,379,False
VPS13D,58.0,57,False
RP5-888M10.2,1.0,1,False
DHRS3,60.0,58,False
RP11-474O21.5,1.0,1,False
AADACL4,0.0,0,False
AADACL3,0.0,0,False
C1orf158,0.0,0,False
PRAMEF12,0.0,0,False
PRAMEF1,0.0,0,False
RP5-845O24.8,0.0,0,False
PRAMEF11,0.0,0,False
HNRNPCL1,0.0,0,False
PRAMEF2,0.0,0,False
PRAMEF4,0.0,0,False
PRAMEF10,0.0,0,False
PRAMEF7,0.0,0,False
PRAMEF6,0.0,0,False
PRAMEF22,0.0,0,False
WI2-3308P17.2,0.0,0,False
RP13-221M14.2,0.0,0,False
PRAMEF26,0.0,0,False
PRAMEF3,0.0,0,False
PRAMEF5,0.0,0,False
PRAMEF8,0.0,0,False
PRAMEF9,0.0,0,False
RP11-219C24.10,0.0,0,False
PRAMEF13,0.0,0,False
PRAMEF18,0.0,0,False
PRAMEF16,0.0,0,False
PRAMEF21,0.0,0,False
PRAMEF15,0.0,0,False
PRAMEF14,0.0,0,False
PRAMEF19,0.0,0,False
PRAMEF17,0.0,0,False
PRAMEF20,0.0,0,False
LRRC38,0.0,0,False
RP4-597A16.2,0.0,0,False
PDPN,0.0,0,False
CTA-520D8.2,0.0,0,False
PRDM2,204.0,177,False
RP11-344F13.1,0.0,0,False
RP4-704D23.1,0.0,0,False
KAZN,0.0,0,False
TMEM51,9.0,9,False
C1orf195,0.0,0,False
FHAD1,2.0,2,False
RP3-467K16.2,0.0,0,False
RP3-467K16.7,0.0,0,False
RP3-467K16.4,6.0,5,False
EFHD2,746.0,523,False
CTRC,1.0,1,False
CELA2A,0.0,0,False
CELA2B,0.0,0,False
CASP9,38.0,37,False
DNAJC16,26.0,26,False
RP4-680D5.8,0.0,0,False
AGMAT,45.0,43,False
RP4-680D5.2,1.0,1,False
DDI2,87.0,37,False
RSC1A1,0.0,0,False
RP4-680D5.9,0.0,0,False
PLEKHM2,43.0,43,False
RP11-288I21.1,0.0,0,False
SLC25A34,1.0,1,False
RP11-169K16.4,0.0,0,False
TMEM82,0.0,0,False
FBLIM1,26.0,26,False
RP11-169K16.9,157.0,143,False
SPEN,90.0,74,False
ZBTB17,50.0,47,False
C1orf64,0.0,0,False
RP11-5P18.5,0.0,0,False
HSPB7,0.0,0,False
CLCNKA,0.0,0,False
CLCNKB,0.0,0,False
FAM131C,0.0,0,False
EPHA2,1.0,1,False
RP11-276H7.2,0.0,0,False
RP11-276H7.3,0.0,0,False
ARHGEF19-AS1,1.0,1,False
ARHGEF19,15.0,14,False
C1orf134,0.0,0,False
RSG1,7.0,7,False
FBXO42,70.0,65,False
SZRD1,268.0,237,False
SPATA21,4.0,4,False
NECAP2,584.0,490,False
RP4-798A10.2,9.0,9,False
RP4-798A10.7,3.0,3,False
RP4-798A10.4,5.0,5,False
U1,0.0,0,False
FAM231B,0.0,0,False
NBPF1,43.0,40,False
RP5-1182A14.5,0.0,0,False
CROCCP2,134.0,127,False
FAM231A,0.0,0,False
FAM231C,0.0,0,False
CROCC,25.0,24,False
RP11-108M9.1,0.0,0,False
RP11-108M9.2,0.0,0,False
U1-1,0.0,0,False
RP11-108M9.4,123.0,119,False
RP11-108M9.6,26.0,25,False
MFAP2,0.0,0,False
RP1-37C10.3,0.0,0,False
ATP13A2,65.0,65,False
SDHB,848.0,581,False
PADI2,3.0,3,False
RP11-380J14.1,0.0,0,False
PADI1,0.0,0,False
PADI3,0.0,0,False
PADI4,72.0,67,False
AC004824.2,0.0,0,False
RP1-20B21.4,1.0,1,False
RCC2,95.0,87,False
ARHGEF10L,31.0,30,False
RP11-473A10.2,0.0,0,False
ACTL8,0.0,0,False
RP11-174G17.2,0.0,0,False
IGSF21,0.0,0,False
RP11-174G17,0.0,0,False
RP11-422P22.1,0.0,0,False
KLHDC7A,0.0,0,False
PAX7,0.0,0,False
TAS1R2,0.0,0,False
RP13-279N23.2,0.0,0,False
ALDH4A1,3.0,3,False
IFFO2,17.0,17,False
UBR4,148.0,141,False
RP1-43E13.2,14.0,13,False
EMC1,30.0,30,False
MRTO4,159.0,132,False
AKR7A3,2.0,2,False
AKR7A2,406.0,356,False
PQLC2,23.0,23,False
CAPZB,2695.0,1500,False
RP5-1056L3.1,0.0,0,False
MINOS1-NBL1,4.0,4,False
MINOS1,924.0,713,False
NBL1,10.0,10,False
HTR6,0.0,0,False
TMCO4,32.0,31,False
RNF186,0.0,0,False
RP11-91K11.2,0.0,0,False
OTUD3,13.0,13,False
PLA2G2E,0.0,0,False
PLA2G2A,0.0,0,False
PLA2G5,0.0,0,False
PLA2G2D,1.0,1,False
PLA2G2F,0.0,0,False
RP3-340N1.2,0.0,0,False
PLA2G2C,1.0,1,False
UBXN10-AS1,5.0,5,False
UBXN10,3.0,3,False
RP3-340N1.6,0.0,0,False
VWA5B1,0.0,0,False
RP4-745E8.2,0.0,0,False
LINC01141,0.0,0,False
RP4-749H3.2,0.0,0,False
CAMK2N1,17.0,7,False
MUL1,70.0,70,False
FAM43B,0.0,0,False
CDA,696.0,393,False
PINK1,75.0,62,False
PINK1-AS,22.0,22,False
DDOST,612.0,508,False
KIF17,1.0,1,False
SH2D5,0.0,0,False
RP5-930J4.2,0.0,0,False
HP1BP3,387.0,317,False
RP5-930J4.4,3.0,3,False
EIF4G3,26.0,25,False
ECE1,101.0,98,False
RP3-329E20.2,3.0,3,False
RP5-1071N3.1,2.0,2,False
RP11-293F5.1,0.0,0,False
NBPF3,9.0,9,False
ALPL,3.0,3,False
RP11-63N8.3,0.0,0,False
RAP1GAP,0.0,0,False
USP48,154.0,147,False
LDLRAD2,0.0,0,False
HSPG2,4.0,4,False
CELA3B,0.0,0,False
CELA3A,0.0,0,False
RP1-224A6.3,4.0,4,False
LINC00339,41.0,41,False
CDC42,1372.0,1000,False
RP1-224A6.9,2.0,2,False
WNT4,0.0,0,False
ZBTB40,44.0,43,False
EPHA8,0.0,0,False
C1QA,114.0,36,False
C1QC,17.0,5,False
C1QB,76.0,17,False
EPHB2,7.0,7,False
RP11-69E9.1,0.0,0,False
RP1-74M1.3,0.0,0,False
LACTBL1,0.0,0,False
C1orf234,0.0,0,False
KDM1A,61.0,59,False
RP1-184J9.2,0.0,0,False
LUZP1,72.0,71,False
HTR1D,0.0,0,False
RP5-1057J7.6,4.0,4,False
HNRNPR,658.0,560,False
ZNF436,25.0,6,False
C1orf213,4.0,4,False
RP5-1057J7.7,0.0,0,False
TCEA3,119.0,106,False
ASAP3,2.0,2,False
E2F2,26.0,26,False
RP1-150O5.3,2.0,2,False
ID3,221.0,176,False
MDS2,69.0,53,False
RPL11,51634.0,2690,False
TCEB3,79.0,76,False
RP5-886K2.3,34.0,33,False
PITHD1,453.0,365,False
LYPLA2,257.0,231,False
GALE,36.0,35,False
HMGCL,183.0,137,False
FUCA1,104.0,102,False
CNR2,20.0,20,False
RP11-4M23.3,0.0,0,False
PNRC2,150.0,143,False
SRSF10,137.0,129,False
RP11-293P20.2,0.0,0,False
MYOM3,0.0,0,False
RP11-293P20.4,0.0,0,False
IL22RA1,0.0,0,False
IFNLR1,8.0,8,False
RP11-10N16.2,0.0,0,False
RP11-10N16.3,0.0,0,False
GRHL3,1.0,1,False
STPG1,29.0,27,False
NIPAL3,168.0,162,False
RCAN3,331.0,294,False
RP4-594I10.3,20.0,20,False
NCMAP,0.0,0,False
SRRM1,565.0,470,False
CLIC4,41.0,39,False
RUNX3,248.0,229,False
RP11-84D1.1,0.0,0,False
RP11-84D1.2,0.0,0,False
RP4-799D16.1,0.0,0,False
RP4-706G24.1,0.0,0,False
SYF2,1392.0,1017,False
C1orf63,613.0,490,False
RP3-465N24.6,6.0,6,False
RHD,1.0,1,False
TMEM50A,967.0,716,False
RHCE,2.0,2,False
TMEM57,73.0,69,False
LDLRAP1,426.0,338,False
RP11-70P17.1,39.0,27,False
MAN1C1,24.0,24,False
RP1-187B23.1,24.0,24,False
SEPN1,40.0,40,False
RP1-317E23.6,0.0,0,False
RP1-317E23.3,3.0,3,False
MTFR1L,140.0,136,False
AL020996.1,3.0,3,False
RP1-317E23.7,0.0,0,False
AUNIP,2.0,2,False
RP1-125I3.2,1.0,1,False
PAQR7,3.0,3,False
STMN1,374.0,196,False
PAFAH2,31.0,31,False
EXTL1,0.0,0,False
SLC30A2,0.0,0,False
TRIM63,1.0,1,False
PDIK1L,62.0,30,False
FAM110D,0.0,0,False
ZNF593,225.0,167,False
RP11-96L14.7,1.0,1,False
CNKSR1,4.0,4,False
CATSPER4,0.0,0,False
CEP85,19.0,19,False
SH3BGRL3,10127.0,2314,False
UBXN11,235.0,211,False
CD52,10610.0,2409,False
AIM1L,11.0,10,False
ZNF683,42.0,39,False
LIN28A,0.0,0,False
DHDDS,49.0,48,False
RP3-476K8.3,0.0,0,False
HMGN2,286.0,260,False
RPS6KA1,250.0,236,False
RP5-968P14.2,1.0,1,False
ARID1A,190.0,178,False
PIGV,51.0,47,False
ZDHHC18,43.0,42,False
SFN,0.0,0,False
RP1-50O24.6,0.0,0,False
GPN2,86.0,82,False
GPATCH3,50.0,48,False
NUDC,749.0,584,False
NR0B2,0.0,0,False
C1orf172,9.0,9,False
TRNP1,4.0,4,False
FAM46B,1.0,1,False
SLC9A1,35.0,35,False
RP11-40H20.4,0.0,0,False
WDTC1,73.0,73,False
TMEM222,219.0,167,False
SYTL1,536.0,455,False
MAP3K6,43.0,43,False
FCN3,0.0,0,False
CD164L2,0.0,0,False
GPR3,0.0,0,False
WASF2,628.0,525,False
RP4-752I6.1,0.0,0,False
RP1-159A19.4,8.0,8,False
AHDC1,24.0,24,False
FGR,944.0,575,False
RP11-288L9.1,1.0,1,False
IFI6,2503.0,1082,False
RP11-288L9.4,0.0,0,False
FAM76A,35.0,33,False
STX12,188.0,178,False
PPP1R8,182.0,159,False
AL109927.1,0.0,0,False
THEMIS2,400.0,316,False
RPA2,576.0,490,False
SMPDL3B,0.0,0,False
RP11-460I13.2,0.0,0,False
XKR8,78.0,75,False
EYA3,30.0,30,False
PTAFR,106.0,77,False
DNAJC8,771.0,588,False
AL353354.1,0.0,0,False
AL353354.2,8.0,8,False
ATPIF1,1103.0,840,False
RP5-1092A3.4,16.0,16,False
RP5-1092A3.5,0.0,0,False
SESN2,25.0,25,False
MED18,19.0,18,False
PHACTR4,186.0,100,False
RCC1,59.0,55,False
TRNAU1AP,146.0,141,False
SNHG12,161.0,140,False
TAF12,498.0,380,False
RAB42,0.0,0,False
RP11-442N24__B.1,5.0,5,False
RNU11,4.0,4,False
GMEB1,92.0,84,False
YTHDF2,421.0,337,False
OPRD1,0.0,0,False
RP1-212P9.2,0.0,0,False
RP1-212P9.3,0.0,0,False
EPB41,177.0,170,False
TMEM200B,3.0,3,False
RP11-242O24.3,0.0,0,False
SRSF4,417.0,364,False
RP11-242O24.5,0.0,0,False
MECR,53.0,52,False
RP11-467D18.2,0.0,0,False
PTPRU,1.0,1,False
RP3-437I16.1,0.0,0,False
RP4-656G21.1,0.0,0,False
RP11-111I12.1,0.0,0,False
RP5-893G23.1,0.0,0,False
RP4-591L5.1,0.0,0,False
RP4-591L5.2,0.0,0,False
MATN1,3.0,3,False
MATN1-AS1,29.0,28,False
LAPTM5,5400.0,2126,False
RP5-1125N11.1,0.0,0,False
RP1-65J11.1,0.0,0,False
RP1-65J11.5,0.0,0,False
SDC3,1.0,1,False
PUM1,120.0,89,False
NKAIN1,0.0,0,False
SNRNP40,350.0,323,False
ZCCHC17,224.0,203,False
RP11-266K22.2,0.0,0,False
FABP3,1.0,1,False
SERINC2,19.0,18,False
AC114494.1,0.0,0,False
RP11-439L8.3,0.0,0,False
RP11-439L8.4,0.0,0,False
RP11-73M7.1,0.0,0,False
TINAGL1,0.0,0,False
HCRTR1,0.0,0,False
PEF1,295.0,274,False
RP11-73M7.6,0.0,0,False
RP11-73M7.9,2.0,2,False
COL16A1,1.0,1,False
BAI2,0.0,0,False
RP11-84A19.3,0.0,0,False
SPOCD1,10.0,3,False
RP11-84A19.2,1.0,1,False
RP11-84A19.4,0.0,0,False
PTP4A2,866.0,644,False
AL136115.1,1.0,1,False
RP4-534N18.2,0.0,0,False
KHDRBS1,842.0,658,False
RP11-277A4.4,1.0,1,False
TMEM39B,84.0,77,False
KPNA6,119.0,111,False
TXLNA,37.0,36,False
CCDC28B,128.0,116,False
RP4-622L5.7,0.0,0,False
IQCC,1.0,1,False
DCDC2B,2.0,2,False
TMEM234,57.0,51,False
EIF3I,1152.0,857,False
FAM167B,4.0,4,False
LCK,1468.0,970,False
HDAC1,584.0,421,False
MARCKSL1,697.0,493,False
RP4-811H24.9,0.0,0,False
TSSK3,2.0,2,False
FAM229A,14.0,14,False
BSDC1,249.0,198,False
RP1-27O5.3,0.0,0,False
ZBTB8B,0.0,0,False
ZBTB8A,3.0,3,False
ZBTB8OS,244.0,209,False
RBBP4,333.0,298,False
SYNC,35.0,35,False
RP11-114B7.6,0.0,0,False
KIAA1522,2.0,2,False
YARS,142.0,134,False
S100PBP,85.0,82,False
FNDC5,0.0,0,False
HPCA,0.0,0,False
TMEM54,0.0,0,False
RNF19B,38.0,37,False
FKSG48,0.0,0,False
RP1-117O3.2,1.0,1,False
AK2,308.0,263,False
ADC,15.0,14,False
TRIM62,16.0,16,False
ZNF362,34.0,34,False
RP11-415J8.7,0.0,0,False
A3GALT2,0.0,0,False
RP11-415J8.3,0.0,0,False
PHC2,47.0,45,False
RP11-415J8.5,0.0,0,False
ZSCAN20,2.0,2,False
CSMD2,1.0,1,False
HMGB4,0.0,0,False
RP5-1007G16.1,0.0,0,False
C1orf94,0.0,0,False
SMIM12,386.0,317,False
GJB5,0.0,0,False
GJB4,0.0,0,False
RP1-34M23.5,0.0,0,False
GJB3,0.0,0,False
GJA4,0.0,0,False
RP5-997D16.2,0.0,0,False
DLGAP3,17.0,17,False
RP11-244H3.4,68.0,68,False
ZMYM6NB,6.0,6,False
ZMYM6,35.0,35,False
ZMYM1,24.0,24,False
SFPQ,544.0,470,False
ZMYM4,39.0,38,False
ZMYM4-AS1,0.0,0,False
KIAA0319L,112.0,106,False
NCDN,29.0,28,False
RP4-728D4.2,85.0,84,False
TFAP2E,5.0,5,False
PSMB2,740.0,582,False
C1orf216,42.0,42,False
CLSPN,13.0,10,False
RP11-435D7.3,0.0,0,False
AGO4,39.0,30,False
AGO1,48.0,47,False
RP4-789D17.5,4.0,4,False
AGO3,72.0,68,False
RP4-665N4.8,0.0,0,False
TEKT2,0.0,0,False
ADPRHL2,152.0,139,False
COL8A2,1.0,1,False
TRAPPC3,582.0,441,False
MAP7D1,231.0,207,False
THRAP3,366.0,306,False
SH3D21,4.0,4,False
EVA1B,48.0,23,False
RP11-268J15.5,0.0,0,False
STK40,93.0,92,False
LSM10,698.0,570,False
OSCP1,5.0,5,False
MRPS15,530.0,445,False
CSF3R,455.0,311,False
RP4-614N24.1,0.0,0,False
GRIK3,0.0,0,False
RP5-1180C18.1,0.0,0,False
LINC01137,26.0,26,False
ZC3H12A,71.0,71,False
MEAF6,888.0,737,False
SNIP1,9.0,9,False
DNALI1,1.0,1,False
GNL2,143.0,138,False
RSPO1,0.0,0,False
C1orf109,55.0,53,False
CDCA8,4.0,3,False
EPHA10,0.0,0,False
MANEAL,1.0,1,False
RP11-109P14.9,0.0,0,False
YRDC,128.0,120,False
C1orf122,230.0,212,False
MTF1,67.0,66,False
AL929472.1,0.0,0,False
RP11-109P14.10,1.0,1,False
INPP5B,35.0,35,False
SF3A3,291.0,257,False
FHL3,126.0,118,False
UTP11L,130.0,124,False
POU3F1,0.0,0,False
RP5-884C9.2,0.0,0,False
RP11-214L19.1,0.0,0,False
RP11-329N22.1,0.0,0,False
RRAGC,225.0,158,False
RP5-864K19.4,9.0,9,False
MYCBP,166.0,157,False
GJA9,0.0,0,False
RHBDL2,0.0,0,False
AKIRIN1,362.0,335,False
NDUFS5,1533.0,1072,False
MACF1,266.0,236,False
RP11-420K8.1,0.0,0,False
KIAA0754,14.0,14,False
BMP8A,0.0,0,False
RP11-69E11.4,7.0,7,False
PABPC4,418.0,361,False
RP11-69E11.8,0.0,0,False
HEYL,0.0,0,False
RP1-144F13.3,0.0,0,False
NT5C1A,0.0,0,False
HPCAL4,17.0,17,False
PPIE,406.0,325,False
BMP8B,8.0,2,False
OXCT2,2.0,2,False
RP1-118J21.25,1.0,1,False
TRIT1,57.0,36,False
MYCL,59.0,50,False
RP1-118J21.5,0.0,0,False
MFSD2A,6.0,6,False
CAP1,1807.0,1111,False
PPT1,696.0,516,False
RLF,42.0,41,False
TMCO2,0.0,0,False
RP1-39G22.7,69.0,67,False
ZMPSTE24,86.0,81,False
COL9A2,24.0,23,False
SMAP2,540.0,434,False
ZFP69B,8.0,8,False
ZFP69,29.0,26,False
RP11-656D10.3,3.0,3,False
EXO5,15.0,15,False
RP11-656D10.5,0.0,0,False
RP11-656D10.6,0.0,0,False
ZNF684,33.0,31,False
RIMS3,3.0,3,False
RP4-739H11.3,0.0,0,False
NFYC-AS1,20.0,20,False
NFYC,284.0,234,False
KCNQ4,1.0,1,False
CITED4,109.0,87,False
RP5-1066H13.4,0.0,0,False
CTPS1,65.0,63,False
SLFNL1,4.0,4,False
SCMH1,23.0,23,False
RP11-399E6.1,0.0,0,False
FOXO6,1.0,1,False
RP11-399E6.4,0.0,0,False
EDN2,0.0,0,False
HIVEP3,60.0,57,False
RP11-486B10.3,0.0,0,False
GUCA2B,0.0,0,False
GUCA2A,0.0,0,False
FOXJ3,91.0,90,False
RIMKLA,2.0,1,False
ZMYND12,1.0,1,False
PPCS,581.0,514,False
CCDC30,14.0,14,False
PPIH,279.0,252,False
RP5-994D16.3,1.0,1,False
YBX1,6920.0,2193,False
CLDN19,0.0,0,False
LEPRE1,59.0,57,False
C1orf50,170.0,149,False
RP5-994D16.9,0.0,0,False
CCDC23,366.0,326,False
ERMAP,20.0,19,False
RP11-342M1.3,3.0,3,False
ZNF691,27.0,27,False
SLC2A1,45.0,45,False
SLC2A1-AS1,3.0,3,False
FAM183A,0.0,0,False
EBNA1BP2,263.0,228,False
WDR65,3.0,3,False
TMEM125,0.0,0,False
C1orf210,0.0,0,False
TIE1,1.0,1,False
MPL,1.0,1,False
RP1-92O14.3,7.0,7,False
CDC20,11.0,5,False
ELOVL1,208.0,197,False
MED8,240.0,229,False
RP1-92O14.6,1.0,1,False
SZT2,46.0,45,False
SZT2-AS1,0.0,0,False
HYI,34.0,33,False
HYI-AS1,0.0,0,False
PTPRF,0.0,0,False
KDM4A,40.0,40,False
KDM4A-AS1,5.0,5,False
ST3GAL3,27.0,26,False
RP11-184I16.4,0.0,0,False
ARTN,0.0,0,False
RP11-7O11.3,2.0,2,False
IPO13,24.0,24,False
DPH2,48.0,47,False
ATP6V0B,1519.0,911,False
B4GALT2,0.0,0,False
CCDC24,15.0,14,False
SLC6A9,0.0,0,False
RP5-1198O20.4,0.0,0,False
KLF17,0.0,0,False
DMAP1,188.0,168,False
ERI3,236.0,175,False
RNF220,114.0,113,False
TMEM53,29.0,27,False
C1orf228,222.0,188,False
KIF2C,3.0,3,False
RP11-269F19.2,2.0,2,False
